id,time,latitude,longitude,depth,mag,magType,place
0,2023-06-19T14:18:56.000Z,37.3017,-104.4473,4.887,4.3,mb,"6 km WNW of Hoehne, Colorado"
1,2023-06-19T14:13:07.071Z,37.2796,-104.4845,7.478,3.6,ml,"6 km NNW of El Moro, Colorado"
2,2023-06-19T06:49:11.580Z,35.498,-118.145,6.81,3.57,ml,"32km ESE of Lake Isabella, CA"
3,2023-06-18T03:44:59.090Z,39.0893333,-123.0895,10.52,4.35,mw,"8km SE of Talmage, CA"
4,2023-06-12T12:38:26.049Z,44.6242,-114.2504,6.163,3.7,mwr,southern Idaho
5,2023-06-06T02:56:01.400Z,40.485,-124.7696667,15.73,3.5,ml,"44km WSW of Ferndale, CA"
6,2023-06-03T12:01:18.960Z,38.7921667,-122.7785,3.83,4.45,mw,"2km NW of The Geysers, CA"
7,2023-06-03T08:21:52.309Z,26.9661,-111.483,10.0,4.1,mb,"50 km E of Mulegé, Mexico"
8,2023-06-02T08:14:46.002Z,41.3773,-106.7672,1.317,3.6,mwr,"9 km SSE of Saratoga, Wyoming"
9,2023-06-02T00:23:05.353Z,39.6139,-119.9797,7.1,3.7,mw,"7 km S of Cold Springs, Nevada"
10,2023-05-31T19:59:39.790Z,40.35,-125.6006667,10.0,3.94,mw,"112km W of Petrolia, CA"
11,2023-05-30T20:24:52.680Z,34.0218333,-119.1248333,13.56,3.56,ml,"15km SSE of Port Hueneme, CA"
12,2023-05-28T13:33:24.290Z,31.0733333,-116.6141667,5.67,3.58,ml,"72km S of Maneadero, B.C., MX"
13,2023-05-26T11:26:25.000Z,40.2266667,-121.1478333,6.71,4.13,mw,"2km NNE of Prattville, CA"
14,2023-05-25T09:29:51.108Z,31.70610769,-104.5465081,6.362939453,3.5,ml,"54 km SSW of Whites City, New Mexico"
15,2023-05-22T22:59:55.841Z,31.61062189,-103.9766083,7.828295898,3.9,ml,"37 km NNW of Toyah, Texas"
16,2023-05-22T22:59:08.816Z,31.61294221,-103.9696252,7.828295898,3.5,ml,"36 km WSW of Mentone, Texas"
17,2023-05-21T18:44:01.400Z,40.3775,-125.5628333,10.0,5.58,mw,"108km W of Petrolia, CA"
18,2023-05-21T03:26:29.610Z,37.2836667,-117.5835,5.29,4.26,mw,"64km ENE of Big Pine, CA"
19,2023-05-19T18:37:30.445Z,31.608853,-103.9904524,8.715222168,3.8,ml,"37 km NNW of Toyah, Texas"
20,2023-05-18T15:55:53.710Z,40.2251667,-121.1346667,8.4,3.72,mw,"3km NE of Prattville, CA"
21,2023-05-18T01:04:17.938Z,35.3465,-107.5586,14.432,3.6,ml,"7 km ENE of San Mateo, New Mexico"
22,2023-05-15T00:13:39.290Z,32.4671667,-115.9566667,1.0,3.63,mlr,"30km S of Ocotillo, CA"
23,2023-05-15T00:13:11.802Z,30.9617,-116.3533,7.145,4.3,mwr,"18 km W of Las Brisas, Mexico"
24,2023-05-14T15:18:14.218Z,30.9003,-116.4215,10.0,4.5,mb,"25 km WSW of Las Brisas, Mexico"
25,2023-05-13T03:04:16.677Z,26.4438,-111.0277,10.0,4.4,mb,"57 km NE of Loreto, Mexico"
26,2023-05-12T10:18:41.310Z,40.196,-121.0998333,6.06,5.16,mw,"4km NW of Canyondam, CA"
27,2023-05-12T02:54:45.390Z,40.196,-121.1003333,4.79,3.79,mw,"4km NW of Canyondam, CA"
28,2023-05-11T23:19:41.990Z,40.2041667,-121.1095,5.85,5.48,mw,Lake Almanor Earthquake
29,2023-05-11T07:31:20.882Z,31.53639665,-104.1531231,7.262719727000001,3.6,ml,"42 km NW of Toyah, Texas"
30,2023-05-10T23:20:50.829Z,31.52984619,-104.1643245,7.214152018,3.8,ml,"42 km NW of Toyah, Texas"
31,2023-05-10T09:28:39.770Z,25.4361,-109.7955,10.0,4.7,mb,"60 km SW of Campo Pesquero el Colorado, Mexico"
32,2023-05-10T08:55:32.823Z,25.2588,-109.5992,10.0,4.6,mb,Gulf of California
33,2023-05-10T08:45:50.559Z,25.4227,-109.6818,10.0,4.9,mb,"52 km SW of Campo Pesquero el Colorado, Mexico"
34,2023-05-10T07:05:23.946Z,25.5202,-109.8062,10.0,4.9,mb,"55 km WSW of Campo Pesquero el Colorado, Mexico"
35,2023-05-06T14:16:02.550Z,32.7175,-115.5491667,5.15,3.55,mw,"2km SW of Heber, CA"
36,2023-05-05T07:41:05.170Z,28.0496,-112.14,10.0,4.0,mb,"79 km N of Santa Rosalía, Mexico"
37,2023-05-03T08:03:44.612Z,27.6325,-111.5669,10.0,4.2,mb,"62 km SW of San Carlos, Mexico"
38,2023-05-03T01:40:24.490Z,35.8715,-117.7166667,8.85,3.56,ml,"19km ESE of Little Lake, CA"
39,2023-05-01T23:13:47.480Z,38.8905,-123.6595,9.07,3.62,mw,"4km SE of Point Arena, CA"
40,2023-04-30T07:58:19.380Z,33.2036667,-115.5858333,1.89,4.26,mw,"7km WSW of Niland, CA"
41,2023-04-30T07:10:10.180Z,33.1893333,-115.5933333,1.88,4.29,mw,"9km SW of Niland, CA"
42,2023-04-30T07:09:34.500Z,33.2008333,-115.59,2.04,4.33,mw,"8km WSW of Niland, CA"
43,2023-04-29T21:06:47.870Z,32.709,-115.5406667,11.34,3.71,mw,"3km SSW of Heber, CA"
44,2023-04-29T12:07:03.500Z,32.711,-115.5448333,10.43,4.09,mw,"3km SSW of Heber, CA"
45,2023-04-26T06:46:58.450Z,34.0288333,-116.8456667,19.7,3.56,mlr,"12km NNE of Banning, CA"
46,2023-04-23T18:10:08.198Z,43.8635,-76.0202,8.68,3.6,mwr,New York
47,2023-04-20T03:35:47.710Z,37.9163333,-121.8396667,16.04,3.65,mw,"9km ESE of Clayton, CA"
48,2023-04-19T16:07:01.146Z,32.6203,-70.8364,10.0,4.5,mb,off the east coast of the United States
49,2023-04-17T20:55:01.275Z,31.65706908,-104.3605682,6.697143555000001,3.5,ml,"57 km S of Whites City, New Mexico"
50,2023-04-17T18:03:41.349Z,31.66484022,-104.2901214,9.319360352,3.7,ml,"57 km S of Whites City, New Mexico"
51,2023-04-17T15:27:56.450Z,34.9518333,-116.7195,1.8,3.62,ml,"28km ENE of Barstow, CA"
52,2023-04-17T07:45:17.200Z,33.8713333,-120.446,0.85,3.56,ml,"19km SSW of San Miguel Is., CA"
53,2023-04-15T19:35:24.134Z,25.6536,-105.0195,10.0,4.0,mb,"35 km SE of Indé, Mexico"
