地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2017/12/16,02:58:43.9,岩手県沖,39°41.1′N,142°05.6′E,52 km,5.5,震度４
2017/12/06,00:13:49.3,長野県中部,36°22.6′N,137°58.3′E,10 km,5.3,震度４
2017/12/02,00:12:29.9,茨城県南部,36°03.1′N,139°53.4′E,43 km,4.4,震度４
2017/11/17,10:02:47.3,福島県沖,37°10.9′N,141°22.9′E,48 km,4.8,震度４
2017/11/11,01:38:20.6,宮城県沖,38°22.0′N,141°50.2′E,59 km,4.7,震度４
2017/11/03,12:45:12.9,十勝沖,42°33.8′N,143°44.9′E,66 km,5.0,震度４
2017/11/01,00:46:11.4,鹿児島湾,31°23.9′N,130°36.8′E,9 km,3.8,震度４
2017/10/06,23:56:40.7,福島県沖,37°05.2′N,141°09.3′E,53 km,5.9,震度５弱
2017/09/27,05:22:11.2,岩手県沖,40°16.0′N,142°27.3′E,35 km,6.1,震度４
2017/09/10,17:44:24.0,浦河沖,41°45.5′N,142°52.6′E,43 km,5.6,震度４
2017/09/09,11:42:09.6,秋田県内陸南部,39°31.3′N,140°25.4′E,9 km,3.4,震度４
2017/09/08,22:23:18.1,秋田県内陸南部,39°30.0′N,140°25.1′E,9 km,5.2,震度５強
2017/09/08,14:20:10.9,熊本県熊本地方,32°43.4′N,130°40.4′E,14 km,4.1,震度４
2017/08/24,14:34:38.6,鹿児島湾,31°22.6′N,130°36.7′E,7 km,4.4,震度４
2017/08/02,07:15:56.8,茨城県南部,36°07.2′N,140°01.3′E,48 km,4.6,震度４
2017/08/02,02:02:07.5,茨城県北部,36°48.2′N,140°32.1′E,9 km,5.5,震度４
2017/07/20,09:11:24.2,福島県沖,37°20.4′N,141°35.2′E,46 km,5.8,震度４
2017/07/11,11:56:35.4,鹿児島湾,31°23.0′N,130°37.2′E,10 km,5.3,震度５強
2017/07/07,21:48:35.8,福島県沖,37°45.7′N,141°05.3′E,66 km,4.9,震度４
2017/07/02,00:58:22.7,熊本県阿蘇地方,33°00.2′N,131°14.2′E,11 km,4.5,震度５弱
2017/07/01,23:45:52.9,胆振地方中東部,42°47.2′N,141°51.5′E,27 km,5.1,震度５弱
2017/06/25,15:17:14.6,長野県南部,35°51.4′N,137°35.0′E,7 km,4.7,震度４
2017/06/25,09:24:05.4,長野県南部,35°51.8′N,137°34.0′E,6 km,4.5,震度４
