地震の発生日,地震の発生時刻,震央地名,緯度,経度,深さ,Ｍ,最大震度
2011/03/11,14:46:18.1,三陸沖,38°06.2′N,142°51.6′E,24 km,9.0,震度７
2013/05/24,14:44:48.9,オホーツク海,54°53.5′N,153°13.2′E,598 km,8.3,震度３
2007/01/13,13:23:13.0,千島列島東方,46°56.2′N,155°03.1′E,30 km,8.2,震度３
1994/10/04,22:22:56.9,北海道東方沖,43°22.5′N,147°40.4′E,28 km,8.2,震度６
2015/05/30,20:23:02.2,小笠原諸島西方沖,27°51.6′N,140°40.9′E,682 km,8.1,震度５強
1963/10/13,14:17:50.5,択捉島南東沖,44°02.9′N,149°49.5′E,0 km,8.1,震度４
2003/09/26,04:50:07.4,十勝沖,41°46.7′N,144°04.7′E,45 km,8.0,震度６弱
2006/11/15,20:14:09.6,千島列島東方,46°42.1′N,154°02.8′E,30 km,7.9,震度２
2000/03/28,20:00:23.4,硫黄島近海,22°33.4′N,144°02.1′E,128 km,7.9,震度３
1968/05/16,09:48:54.5,青森県東方沖,40°41.9′N,143°35.7′E,0 km,7.9,震度５
2010/12/22,02:19:37.2,父島近海,27°03.1′N,143°56.1′E,8 km,7.8,震度４
1995/08/23,16:06:02.1,マリアナ諸島,18°39.0′N,145°22.9′E,595 km,7.8,震度１
1993/07/12,22:17:11.7,北海道南西沖,42°46.9′N,139°10.8′E,35 km,7.8,震度５
1969/08/12,06:27:36.4,北海道東方沖,43°22.6′N,147°54.3′E,38 km,7.8,震度４
2016/07/30,06:18:25.7,マリアナ諸島,18°50.1′N,145°45.5′E,233 km,7.7,震度２
1999/09/21,02:47:28.6,台湾付近,23°52.6′N,120°55.8′E,0 km,7.7,震度２
1998/05/04,08:30:18.6,石垣島南方沖,22°22.7′N,125°26.2′E,35 km,7.7,震度３
1983/05/26,11:59:57.5,秋田県沖,40°21.6′N,139°04.4′E,14 km,7.7,震度５
2011/03/11,15:15:34.2,茨城県沖,36°07.2′N,141°15.1′E,43 km,7.6,震度６強
2007/09/28,22:38:54.9,マリアナ諸島,21°59.1′N,143°05.8′E,268 km,7.6,震度２
1994/12/28,21:19:20.9,三陸沖,40°25.8′N,143°44.7′E,0 km,7.6,震度６
1984/03/06,11:17:20.4,鳥島近海,29°20.6′N,139°12.1′E,452 km,7.6,震度４
2020/03/25,11:49:21.0,北西太平洋,48°59.1′N,157°41.5′E,57 km,7.5,震度１
2011/03/11,15:25:44.3,三陸沖,37°54.8′N,144°45.0′E,11 km,7.5,震度４
1993/01/15,20:06:07.2,釧路沖,42°55.2′N,144°21.2′E,101 km,7.5,震度６
1975/02/04,20:36:01.6,中国東北部,40°33.0′N,122°11.0′E,0 km,7.5,震度２
1972/01/25,11:06:21.1,台湾付近,22°31.3′N,122°22.6′E,27 km,7.5,震度３
1968/05/16,19:39:01.9,青森県東方沖,41°30.2′N,142°37.6′E,8 km,7.5,震度５
1968/04/01,09:42:04.0,日向灘,32°26.9′N,132°26.2′E,22 km,7.5,震度５
1964/06/16,13:01:40.7,新潟県下越沖,38°22.2′N,139°12.7′E,34 km,7.5,震度５
2022/03/16,23:36:32.6,福島県沖,37°41.8′N,141°37.3′E,57 km,7.4,震度６強
2016/11/22,05:59:46.8,福島県沖,37°21.2′N,141°36.2′E,25 km,7.4,震度５弱
