Fecha,Hora,Epicentro,Latitud,Longitud,Profundidad,Mag,Máxima intensidad sísmica
1999-12-16,22:47:09,Norte de Tochigi,36.64,139.42999999999998,9 km,4.2,Intensidad sísmica 4
1999-11-29,21:34:04,Prefectura Occidental de Aichi,35.111666666666665,137.025,45 km,4.8,Intensidad sísmica 4
1999-11-10,03:19:17,"Región de Kumamoto, Kumamoto",32.72666666666667,130.79666666666665,13 km,4.2,Intensidad sísmica 4
1999-11-07,03:34:01,Frente a la costa de Fukui,36.05833333333333,135.79333333333332,15 km,5.0,Intensidad sísmica 4
1999-10-30,06:25:50,Mar Interior de Seto Central,34.04666666666667,133.5016666666667,13 km,4.6,Intensidad sísmica 4
1999-10-29,14:59:00,Norte de Nagano,36.58833333333334,138.19333333333333,7 km,4.2,Intensidad sísmica 4
1999-09-13,07:56:46,Noroeste de Chiba,35.59666666666667,140.15833333333333,76 km,5.1,Intensidad sísmica 4
1999-08-21,05:33:11,Wakayama del Norte,34.03,135.47,66 km,5.6,Intensidad sísmica 5 débil
1999-07-16,02:59:09,Sureste de Hiroshima,34.425,133.19333333333333,20 km,4.5,Intensidad sísmica 4
1999-05-22,19:09:04,Prefectura de Iwate interior septentrional,39.836666666666666,140.94666666666666,8 km,4.0,Intensidad sísmica 4
1999-05-13,02:59:23,Región de Kushiro en el centro sur,42.96666666666667,143.87,106 km,6.3,Intensidad sísmica 4
1999-05-06,13:52:15,"Región de Joetsu, Niigata",37.05833333333333,138.39333333333332,14 km,3.8,Intensidad sísmica 4
1999-04-25,21:27:02,Frente a la costa de Ibaraki,36.455000000000005,140.62166666666667,59 km,5.2,Intensidad sísmica 4
1999-03-28,01:37:03,Cerca de Niijima y Kozushima,34.098333333333336,139.00666666666666,14 km,5.2,Intensidad sísmica 4
1999-03-26,08:31:09,Norte de Ibaraki,36.45,140.61499999999998,59 km,5.0,Intensidad sísmica 4
1999-03-16,16:43:35,Prefectura de Shiga del Norte,35.276666666666664,135.92999999999998,12 km,5.2,Intensidad sísmica 4
1999-03-14,13:47:43,Cerca de Niijima y Kozushima,34.233333333333334,139.11499999999998,9 km,4.1,Intensidad sísmica 4
1999-03-14,09:04:42,Cerca de Niijima y Kozushima,34.236666666666665,139.13666666666666,9 km,5.1,Intensidad sísmica 5 débil
1999-03-09,12:53:52,"Región de Aso, Kumamoto",32.93666666666666,131.01833333333337,10 km,4.8,Intensidad sísmica 4
1999-02-26,14:18:16,Frente a la costa de Akita,39.155,139.83666666666667,21 km,5.3,Intensidad sísmica 5 débil
1999-02-12,03:16:45,Kioto meridional,34.99166666666667,135.55833333333334,15 km,4.2,Intensidad sísmica 4
1999-01-28,10:25:45,Chubu Nagano,36.37166666666667,137.98166666666663,9 km,4.8,Intensidad sísmica 4
1999-01-24,09:37:06,Cerca de: Tanegashima,30.56833333333333,131.29,40 km,6.6,Intensidad sísmica 4
1998-12-16,09:18:45,Frente a la costa oriental de la península de Osumi,31.3,131.58833333333334,24 km,5.7,Intensidad sísmica 4
1998-11-24,04:48:11,Frente a la costa de Miyagi,38.015,141.55,83 km,5.2,Intensidad sísmica 4
1998-11-08,21:40:44,Bahía de Tokio,35.63,140.03833333333333,80 km,4.7,Intensidad sísmica 4
1998-11-07,20:13:49,Cerca de: Amami Oshima,28.291666666666668,129.325,15 km,4.8,Intensidad sísmica 4
1998-09-15,16:24:02,Chubu Miyagi,38.281666666666666,140.76,13 km,5.2,Intensidad sísmica 4
1998-09-03,16:58:17,Prefectura de Iwate interior septentrional,39.805,140.9,8 km,6.2,Intensidad sísmica 6 débil
1998-08-29,08:46:42,Bahía de Tokio,35.63166666666667,140.02833333333334,65 km,5.3,Intensidad sísmica 4
1998-08-22,03:55:45,Chubu Nagano,36.24,137.6483333333333,4 km,4.6,Intensidad sísmica 4
1998-08-16,03:31:07,"Región de Hida, Gifu",36.32666666666667,137.625,3 km,5.6,Intensidad sísmica 4
1998-08-14,19:36:14,"Región de Hida, Gifu",36.30333333333333,137.625,5 km,4.7,Intensidad sísmica 4
1998-08-12,15:13:03,Chubu Nagano,36.236666666666665,137.6266666666667,3 km,5.0,Intensidad sísmica 5 débil
1998-08-12,09:40:34,Chubu Nagano,36.236666666666665,137.65,4 km,4.6,Intensidad sísmica 4
1998-07-01,02:22:47,Norte de Nagano,36.62166666666667,137.91333333333333,9 km,5.0,Intensidad sísmica 4
1998-06-24,23:52:30,Ibaraki meridional,36.15333333333333,140.09833333333333,68 km,4.7,Intensidad sísmica 4
1998-06-23,22:54:18,Centro de Mie,34.580000000000005,136.125,41 km,4.3,Intensidad sísmica 4
1998-06-22,16:07:06,Cerca de: Amami Oshima,28.26833333333333,129.47833333333332,57 km,5.2,Intensidad sísmica 4
1998-05-23,04:49:35,Iyonada,33.70333333333333,131.84166666666667,86 km,5.4,Intensidad sísmica 4
1998-05-03,11:09:05,Frente a la costa oriental de la península de Izu,34.96,139.17499999999998,5 km,5.9,Intensidad sísmica 4
1998-05-03,10:59:27,Frente a la costa oriental de la península de Izu,34.961666666666666,139.17999999999998,6 km,4.2,Intensidad sísmica 4
1998-04-27,06:09:21,Frente a la costa oriental de la península de Izu,34.958333333333336,139.19166666666666,9 km,4.7,Intensidad sísmica 4
1998-04-26,15:03:45,Frente a la costa oriental de la península de Izu,34.980000000000004,139.18333333333334,3 km,4.7,Intensidad sísmica 4
1998-04-26,07:37:36,Frente a la costa oriental de la península de Izu,34.96333333333334,139.17333333333332,6 km,5.0,Intensidad sísmica 4
1998-04-22,20:32:48,Prefectura de Mie del Norte,35.175,136.56166666666667,8 km,5.5,Intensidad sísmica 4
1998-04-09,17:45:39,Frente a la costa de Fukushima,36.94499999999999,141.01666666666668,95 km,5.4,Intensidad sísmica 4
1998-03-08,13:46:48,Ibaraki meridional,36.095,139.855,51 km,4.6,Intensidad sísmica 4
1998-03-03,08:30:05,"Región de Satsuma, Kagoshima",31.846666666666664,130.295,7 km,3.7,Intensidad sísmica 4
1998-02-21,09:55:41,"Región de Chuetsu, Niigata",37.27,138.795,19 km,5.2,Intensidad sísmica 4
1998-01-10,14:02:30,"Región de Satsuma, Kagoshima",31.836666666666662,130.28833333333333,7 km,4.2,Intensidad sísmica 4
1998-01-03,03:19:56,Apagado Kushiro,42.95333333333333,145.43666666666667,50 km,5.0,Intensidad sísmica 4
1997-12-19,22:07:55,Frente a la costa occidental de Ishikawa,36.315,136.22333333333333,13 km,4.5,Intensidad sísmica 4
1997-12-07,12:50:40,Frente a la costa de Fukushima,37.72,141.74166666666665,84 km,5.4,Intensidad sísmica 4
1997-11-23,12:50:58,Frente a la costa de Akita,39.975,138.805,29 km,5.8,Intensidad sísmica 4
1997-11-15,16:05:17,Región del norte de Nemuro,43.665,145.11333333333332,155 km,6.1,Intensidad sísmica 4
1997-09-14,14:33:19,Cerca de Niijima y Kozushima,34.395,139.24166666666665,3 km,4.3,Intensidad sísmica 4
1997-09-04,05:15:43,Tottori occidental,35.26166666666666,133.3766666666667,9 km,5.5,Intensidad sísmica 4
1997-08-13,13:45:04,Cerca de: Miyakojima,25.19,125.815,94 km,6.2,Intensidad sísmica 4
1997-07-26,18:36:05,"Región de Satsuma, Kagoshima",31.97,130.435,9 km,4.3,Intensidad sísmica 4
1997-06-25,18:50:12,Chubu Yamaguchi,34.44,131.665,8 km,6.6,Intensidad sísmica 5 fuerte
1997-06-19,19:05:20,Cerca de: Miyakojima,24.925,125.35,53 km,5.1,Intensidad sísmica 4
1997-06-15,13:54:16,Apagado Kushiro,42.97833333333333,144.20666666666665,98 km,5.1,Intensidad sísmica 4
1997-05-22,08:11:24,Cerca de Niijima y Kozushima,34.22833333333333,139.22166666666666,0 km,5.2,Intensidad sísmica 4
1997-05-18,06:24:57,"Región de Kumamoto, Kumamoto",32.37833333333333,130.64,13 km,4.8,Intensidad sísmica 4
1997-05-14,08:32:06,"Región de Satsuma, Kagoshima",31.935,130.34333333333333,9 km,5.1,Intensidad sísmica 4
1997-05-13,14:38:27,"Región de Satsuma, Kagoshima",31.94833333333333,130.30166666666668,9 km,6.4,Intensidad sísmica 6 débil
1997-05-12,07:59:38,Frente a la costa de Fukushima,37.06,141.24499999999998,54 km,5.7,Intensidad sísmica 4
1997-04-09,23:20:10,"Región de Satsuma, Kagoshima",31.973333333333333,130.41,11 km,5.1,Intensidad sísmica 4
1997-04-05,13:24:50,"Región de Satsuma, Kagoshima",31.97,130.40333333333334,12 km,5.2,Intensidad sísmica 5 débil
1997-04-04,02:33:40,"Región de Satsuma, Kagoshima",31.96,130.39166666666665,14 km,4.8,Intensidad sísmica 4
1997-04-03,06:47:31,"Nanyo, Ehime",33.38,132.42999999999998,52 km,5.0,Intensidad sísmica 4
1997-04-03,04:33:23,"Región de Satsuma, Kagoshima",31.97,130.32166666666666,15 km,5.7,Intensidad sísmica 5 fuerte
1997-03-26,22:24:04,"Región de Satsuma, Kagoshima",31.976666666666667,130.435,9 km,4.7,Intensidad sísmica 4
1997-03-26,18:05:00,"Región de Satsuma, Kagoshima",31.973333333333333,130.39666666666665,13 km,4.6,Intensidad sísmica 4
1997-03-26,17:39:02,"Región de Satsuma, Kagoshima",31.973333333333333,130.34166666666667,10 km,4.9,Intensidad sísmica 4
1997-03-26,17:31:47,"Región de Satsuma, Kagoshima",31.971666666666664,130.35833333333332,12 km,6.6,Intensidad sísmica 5 fuerte
1997-03-16,14:51:39,Prefectura de Aichi Oriental,34.92666666666666,137.525,39 km,5.9,Intensidad sísmica 5 fuerte
1997-03-08,23:53:21,Frente a la costa oriental de la península de Izu,34.961666666666666,139.16166666666666,3 km,4.2,Intensidad sísmica 4
1997-03-07,21:35:51,Frente a la costa oriental de la península de Izu,34.96333333333334,139.165,3 km,4.5,Intensidad sísmica 4
1997-03-07,16:33:21,Frente a la costa oriental de la península de Izu,34.968333333333334,139.14666666666665,1 km,5.0,Intensidad sísmica 5 débil
1997-03-07,07:29:58,"Región de Izu, Shizuoka",34.96333333333334,139.14499999999998,5 km,3.9,Intensidad sísmica 4
1997-03-07,02:36:09,Frente a la costa oriental de la península de Izu,34.96333333333334,139.15666666666667,3 km,4.1,Intensidad sísmica 4
1997-03-05,22:43:28,Frente a la costa oriental de la península de Izu,34.961666666666666,139.155,3 km,4.9,Intensidad sísmica 5 débil
1997-03-04,12:51:27,Frente a la costa oriental de la península de Izu,34.955000000000005,139.16833333333332,3 km,5.9,Intensidad sísmica 4
1997-03-04,00:30:22,Frente a la costa oriental de la península de Izu,34.96333333333334,139.17,0 km,5.2,Intensidad sísmica 4
1997-03-03,23:09:43,Frente a la costa oriental de la península de Izu,34.96,139.15666666666667,0 km,5.5,Intensidad sísmica 5 débil
1997-03-03,20:10:59,Frente a la costa oriental de la península de Izu,34.96,139.1783333333333,4 km,4.8,Intensidad sísmica 4
1997-02-20,16:55:00,Fuera de Urakawa,41.75833333333333,142.8733333333333,49 km,5.9,Intensidad sísmica 5 débil
1997-02-20,05:21:49,Frente a la costa de Fukushima,37.388333333333335,141.155,88 km,5.4,Intensidad sísmica 4
1997-02-12,00:17:07,Cerca de Isla Iriomote,24.416666666666668,123.73833333333332,4 km,4.4,Intensidad sísmica 4
1997-01-18,00:53:13,Cerca de: Amami Oshima,28.808333333333334,129.9283333333333,37 km,6.2,Intensidad sísmica 4
1996-12-21,10:28:47,Ibaraki meridional,36.095,139.86,53 km,5.6,Intensidad sísmica 5 débil
1996-12-03,07:17:58,Hyuganada,31.76833333333333,131.67999999999998,38 km,6.7,Intensidad sísmica 5 débil
1996-11-28,16:40:42,Frente a la costa sureste de Chiba,34.635,140.32666666666665,69 km,5.5,Intensidad sísmica 4
1996-11-17,00:51:55,Cerca de Niijima y Kozushima,34.37166666666667,139.28833333333333,6 km,4.0,Intensidad sísmica 4
1996-11-02,04:50:02,Cerca de Niijima y Kozushima,34.31166666666666,139.20999999999998,2 km,4.9,Intensidad sísmica 4
1996-10-28,01:51:08,Cerca de Niijima y Kozushima,34.291666666666664,139.23166666666663,9 km,4.7,Intensidad sísmica 4
1996-10-25,12:25:17,Kanagawa Occidental,35.45333333333333,139.0016666666667,23 km,4.7,Intensidad sísmica 4
1996-10-24,11:14:54,Cerca de Niijima y Kozushima,34.25833333333333,139.15833333333333,4 km,4.8,Intensidad sísmica 4
1996-10-19,23:44:41,Hyuganada,31.798333333333336,132.00833333333333,34 km,6.9,Intensidad sísmica 5 débil
1996-10-18,19:50:24,Cerca de: Tanegashima,30.575,131.19666666666666,38 km,6.4,Intensidad sísmica 4
1996-10-16,22:58:57,"Región de Izu, Shizuoka",34.97666666666667,139.11499999999998,4 km,4.3,Intensidad sísmica 4
1996-10-05,09:51:15,Chubu Shizuoka,34.99333333333333,138.04333333333332,32 km,4.6,Intensidad sísmica 4
1996-09-11,11:37:14,Frente a la costa oriental de Chiba,35.638333333333335,141.21666666666667,52 km,6.4,Intensidad sísmica 5
1996-09-09,13:34:18,Cerca de: Tanegashima,30.488333333333333,130.95999999999998,22 km,5.8,Intensidad sísmica 4
1996-08-13,11:13:02,"Región de Mogami, Yamagata",38.79666666666667,140.58333333333334,6 km,5.3,Intensidad sísmica 4
1996-08-11,20:52:28,Prefectura de Miyagi del Norte,38.86833333333333,140.665,9 km,4.7,Intensidad sísmica 4
1996-08-11,20:48:14,Prefectura de Miyagi del Norte,38.891666666666666,140.66833333333332,4 km,5.1,Intensidad sísmica 4
1996-08-11,15:01:33,Prefectura de Miyagi del Norte,38.85166666666667,140.685,10 km,4.9,Intensidad sísmica 4
1996-08-11,08:10:46,Prefectura de Miyagi del Norte,38.865,140.67166666666665,10 km,5.8,Intensidad sísmica 5
1996-08-11,05:39:45,Prefectura de Miyagi del Norte,38.88666666666666,140.64666666666665,9 km,4.5,Intensidad sísmica 4
1996-08-11,03:54:12,Prefectura de Miyagi del Norte,38.89666666666667,140.65,9 km,5.6,Intensidad sísmica 5
1996-08-11,03:12:17,Akita interior meridional,38.906666666666666,140.63333333333333,9 km,6.1,Intensidad sísmica 5
1996-06-02,18:37:47,Cerca de: Isla de Okinawa,27.541666666666668,128.45333333333332,49 km,5.7,Intensidad sísmica 4
1996-05-02,23:19:37,Cerca de Niijima y Kozushima,34.19833333333333,139.25333333333333,5 km,4.4,Intensidad sísmica 4
1996-05-02,21:56:14,Cerca de Niijima y Kozushima,34.24,139.19666666666666,3 km,4.8,Intensidad sísmica 4
1996-03-06,23:35:28,"Prefectura de Yamanashi Oriental, Cinco Lagos de Fuji",35.475,138.94666666666666,20 km,5.5,Intensidad sísmica 5
1996-03-06,23:12:27,"Prefectura de Yamanashi Oriental, Cinco Lagos de Fuji",35.473333333333336,138.94166666666666,19 km,4.6,Intensidad sísmica 4
1996-02-18,06:24:54,Cerca de las Islas Tocarias,29.335,129.11499999999998,21 km,4.6,Intensidad sísmica 4
1996-02-17,00:22:58,Frente a la costa de Fukushima,37.30833333333333,142.54666666666665,58 km,6.8,Intensidad sísmica 4
1996-02-07,10:33:16,"Minekita, Fukui",35.934999999999995,136.62166666666667,12 km,5.3,Intensidad sísmica 4
1996-01-03,20:55:30,Sureste de la prefectura de Hyogo,34.906666666666666,135.37833333333333,10 km,3.4,Intensidad sísmica 4
1995-12-22,21:41:42,Kii Suido,34.208333333333336,135.11,9 km,4.2,Intensidad sísmica 4
1995-12-20,20:39:21,Cerca de: Isla de Okinawa,27.398333333333333,128.33666666666667,50 km,5.2,Intensidad sísmica 4
1995-11-01,18:35:55,Cerca de: Amami Oshima,28.161666666666665,130.21666666666667,31 km,5.8,Intensidad sísmica 4
1995-10-20,13:13:55,Cerca de: Amami Oshima,28.046666666666667,130.34833333333333,29 km,5.4,Intensidad sísmica 4
1995-10-19,11:41:33,Cerca de: Amami Oshima,28.01833333333333,130.43833333333333,21 km,6.7,Intensidad sísmica 5
1995-10-19,09:32:03,Cerca de: Amami Oshima,28.13,130.37,41 km,6.5,Intensidad sísmica 4
1995-10-19,08:25:55,Cerca de: Amami Oshima,28.063333333333333,130.57166666666666,37 km,6.0,Intensidad sísmica 4
1995-10-18,20:00:06,Cerca de: Amami Oshima,28.136666666666667,130.565,51 km,4.9,Intensidad sísmica 4
1995-10-18,19:48:31,Cerca de: Amami Oshima,27.83333333333333,130.29333333333332,51 km,5.5,Intensidad sísmica 4
1995-10-18,19:39:45,Cerca de: Amami Oshima,28.096666666666664,130.4283333333333,45 km,5.8,Intensidad sísmica 4
1995-10-18,19:37:23,Cerca de: Amami Oshima,28.031666666666663,130.38,39 km,6.9,Intensidad sísmica 5
1995-10-14,02:04:05,Bahía de Osaka,34.63,135.11,15 km,4.7,Intensidad sísmica 4
1995-10-10,17:00:37,Frente a la costa oriental de la península de Izu,34.97,139.17999999999998,7 km,4.1,Intensidad sísmica 4
1995-10-07,02:09:22,Cerca de Niijima y Kozushima,34.14,139.09,9 km,4.3,Intensidad sísmica 4
1995-10-06,23:06:55,Cerca de Niijima y Kozushima,34.138333333333335,139.12,7 km,5.1,Intensidad sísmica 4
1995-10-06,21:43:40,Cerca de Niijima y Kozushima,34.151666666666664,139.10333333333332,9 km,5.9,Intensidad sísmica 5
1995-10-06,21:29:49,Cerca de Niijima y Kozushima,34.14833333333333,139.11666666666667,9 km,4.3,Intensidad sísmica 4
1995-10-05,04:32:20,"Región de Izu, Shizuoka",34.968333333333334,139.13,3 km,3.8,Intensidad sísmica 4
1995-10-04,17:05:17,"Región de Izu, Shizuoka",34.96666666666667,139.13166666666666,4 km,4.6,Intensidad sísmica 4
1995-10-02,01:06:43,Frente a la costa oriental de la península de Izu,34.97,139.14499999999998,6 km,4.1,Intensidad sísmica 4
1995-10-01,11:42:46,Frente a la costa oriental de la península de Izu,34.975,139.15,5 km,4.8,Intensidad sísmica 4
1995-09-14,19:43:24,"Región de Joetsu, Niigata",37.13666666666666,138.19833333333332,7 km,3.6,Intensidad sísmica 4
