id_lugar,pais,estado
1,Peru,Arequipa
2,Peru,Ica
3,Peru,Ayacucho
4,Bolivia,La Paz
5,Peru,Loreto
6,Peru,Ucayali
7,Peru,Tacna
8,Peru,Mar Peruano
9,Peru,Apurimac
10,Brasil,Acre
11,Peru,Puno
12,Ecuador,Morona Santiago
13,Peru,Cusco
14,Peru,Huancavelica
15,Peru,Junin
16,Peru,San Martin
17,Ecuador,Pastaza
18,Peru,Madre De Dios
19,Peru,Amazonas
20,Peru,Piura
21,Peru,Moquegua
22,Peru,La Libertad
23,Peru,Ancash
24,Peru,Tumbes
25,Peru,Lima
26,Peru,Huanuco
27,Chile,Region De Arica Y Parinacota
28,Peru,Cajamarca
29,Chile,Mar Peruano
30,Ecuador,Guayas
31,Peru,Pasco
32,Ecuador,Loja
33,Ecuador,Mar Peruano
34,Ecuador,El Oro
35,Colombia,Amazonas
36,Brasil,Amazonas
37,Ecuador,Zamora Chinchipe
38,Peru,Lambayeque
39,Chile,Region De Tarapaca
40,Chile,Region De Antofagasta
41,Argentina,Jujuy
42,Ecuador,Chimborazo
43,Bolivia,Oruro
44,Japon,Tochigi
45,Japon,Aichi
46,Japon,Kumamoto
47,Japon,Mar De Japon
48,Japon,Nagano
49,Japon,Chiba
50,Japon,Wakayama
51,Japon,Hiroshima
52,Japon,Iwate
53,Japon,Niigata
54,Japon,Ibaraki
55,Japon,Shiga
56,Japon,Tokio
57,Japon,Miyagi
58,Japon,Gifu
59,Japon,Mie
60,Japon,Kagoshima
61,Japon,Tottori
62,Japon,Yamaguchi
63,Japon,Ehime
64,Japon,Shizuoka
65,Japon,Kanagawa
66,Japon,Yamagata
67,Japon,Akita
68,Japon,Okinawa
69,Japon,Yamanashi
70,Japon,Fukui
71,Japon,Hyogo
72,Japon,Osaka
73,Japon,Saga
74,Japon,Fukushima
75,Japon,Shimane
76,Japon,Nagasaki
77,Japon,Saitama
78,Japon,Oita
79,Japon,Aomori
80,Japon,Miyazaki
81,Japon,Gunma
82,Japon,Fukuoka
83,Japon,Ishikawa
84,Japon,Tokushima
85,Japon,Toyama
86,Japon,Nara
87,Estados Unidos,Colorado
88,Estados Unidos,California
89,Estados Unidos,Idaho
90,Estados Unidos,Mar de EEUU
91,Estados Unidos,Wyoming
92,Estados Unidos,Nevada
93,Estados Unidos,Texas
94,Estados Unidos,New Mexico
95,Mexico,Baja California
96,Mexico,Mar de EEUU
97,Estados Unidos,New York
98,Mexico,Durango
99,Estados Unidos,Oklahoma
100,Canada,British Columbia
101,Estados Unidos,Montana
102,Estados Unidos,Utah
103,Estados Unidos,Arizona
104,Estados Unidos,Oregon
105,Estados Unidos,Washington
106,Estados Unidos,Kansas
107,Mexico,Chihuahua
108,Estados Unidos,South Carolina
109,Estados Unidos,Georgia
110,Estados Unidos,Missouri
111,Mexico,Sonora
112,Estados Unidos,Indiana
113,Estados Unidos,South Dakota
114,Estados Unidos,Massachusetts
115,Canada,Quebec
116,Estados Unidos,Alabama
117,Estados Unidos,Arkansas
118,Estados Unidos,North Carolina
119,Mexico,Coahuila
120,Canada,Mar de EEUU
121,Estados Unidos,Tennessee
122,Estados Unidos,Ohio
123,Estados Unidos,Mississippi
124,Estados Unidos,Nebraska
125,Estados Unidos,Delaware
126,Estados Unidos,Illinois
127,Mexico,Nuevo Leon
128,Canada,Ontario
129,Estados Unidos,Kentucky
130,Canada,New Brunswick / Nouveau-Brunswick
131,Canada,Nova Scotia
132,Estados Unidos,Michigan
133,Mexico,Baja California Sur
134,Estados Unidos,Maine
135,Mexico,Tamaulipas
136,Estados Unidos,Virginia
137,Estados Unidos,Maryland
138,Mexico,Sinaloa
139,Canada,Alberta
140,Estados Unidos,Iowa
141,Estados Unidos,North Dakota
142,Estados Unidos,Pennsylvania
143,Estados Unidos,New Hampshire
144,Estados Unidos,Minnesota
145,Estados Unidos,West Virginia
146,None,Mar de EEUU
147,Estados Unidos,Louisiana
148,Canada,Saskatchewan
149,Estados Unidos,New Jersey
150,Estados Unidos,Rhode Island
151,Peru,Callao
